file_path,category,parse_quality,reason,suggestion
交通运输/478803-极野智驭-驾驭荒野，_作业新时代-项目策划书-8a8acfac.pdf,交通运输,C,quality below threshold (B),补充可编辑文本版本、减少截图附录或人工摘要后重试。
其他/457623-星眸智析--多模态卫_来推演系统-项目策划书-44ee2220.pdf,其他,C,quality below threshold (B),补充可编辑文本版本、减少截图附录或人工摘要后重试。
其他/478331-极端气象下电力系统韧_性解决方案-项目策划书-19f309ac.pdf,其他,C,quality below threshold (B),补充可编辑文本版本、减少截图附录或人工摘要后重试。
其他/535591-EvoRobo：下一_智能机器人-项目策划书-fe2e79cb.pdf,其他,C,quality below threshold (B),补充可编辑文本版本、减少截图附录或人工摘要后重试。
农业发展/515508-面向南南合作国家的智_稻种植系统-项目策划书-75203835.pdf,农业发展,C,quality below threshold (B),补充可编辑文本版本、减少截图附录或人工摘要后重试。
工业制造/467876-广寒天工——月基装备_人作业系统-项目策划书-bea2dedb.pdf,工业制造,C,quality below threshold (B),补充可编辑文本版本、减少截图附录或人工摘要后重试。
政务治理/510255-图盾智控——图计算赋_能防控系统-项目策划书-2e385988.pdf,政务治理,C,quality below threshold (B),补充可编辑文本版本、减少截图附录或人工摘要后重试。
政务治理/534785-数湖启智——多源异构_湖智算系统-项目策划书-f602ec7a.pdf,政务治理,C,quality below threshold (B),补充可编辑文本版本、减少截图附录或人工摘要后重试。
教育服务/475513-人工智能赋能教学解决_教育大模型-项目策划书-050501c7.pdf,教育服务,C,quality below threshold (B),补充可编辑文本版本、减少截图附录或人工摘要后重试。
智能制造/慧心晰影-智能数字放射科医生辅助诊断系统.pptx,智能制造,C,quality below threshold (B),补充可编辑文本版本、减少截图附录或人工摘要后重试。
科技创新/482605-灵枢微创--人体自然_手术机器人-论文_调研报告-b56e9ce7.pdf,科技创新,C,quality below threshold (B),补充可编辑文本版本、减少截图附录或人工摘要后重试。
科技创新/元创未来——构建高交互元宇宙空间.pptx,科技创新,C,quality below threshold (B),补充可编辑文本版本、减少截图附录或人工摘要后重试。
科技创新/数湖启智——多源异构数据湖智算系统20250410V6.pptx,科技创新,C,quality below threshold (B),补充可编辑文本版本、减少截图附录或人工摘要后重试。
科技创新/项目计划书-影豹-当前版本-挑战杯网评-23-0315.pptx,科技创新,C,quality below threshold (B),补充可编辑文本版本、减少截图附录或人工摘要后重试。
